Year,Box_Office_Rank,Name,  Worldwide  ,  Domestic  ,Foreign
1987,161,Three for the Road,"$1,539,000 ","$1,539,000 ",-
1987,162,The Whistle Blower,"$1,500,000 ","$1,500,000 ",-
1987,163,A Prayer for the Dying,"$1,432,687 ","$1,432,687 ",-
1987,164,I've Heard the Mermaids Singing,"$1,408,491 ","$1,408,491 ",-
1987,165,Penitentiary III,"$1,392,616 ","$1,392,616 ",-
1987,166,From a Whisper to a Scream,"$1,355,728 ","$1,355,728 ",-
1987,167,The Whales of August,"$1,338,198 ","$1,338,198 ",-
1987,168,Steele Justice,"$1,327,740 ","$1,327,740 ",-
1987,169,China Girl,"$1,262,091 ","$1,262,091 ",-
1987,170,Sammy and Rosie Get Laid,"$1,196,336 ","$1,196,336 ",-
1987,171,Dancers,"$1,190,416 ","$1,190,416 ",-
1987,172,Return to Horror High,"$1,189,709 ","$1,189,709 ",-
1987,173,Nightflyers,"$1,149,470 ","$1,149,470 ",-
1987,174,Street Smart,"$1,119,112 ","$1,119,112 ",-
1987,175,Swimming to Cambodia,"$1,092,911 ","$1,092,911 ",-
1987,176,84 Charing Cross Road,"$1,083,486 ","$1,083,486 ",-
1987,177,Housekeeping,"$1,083,282 ","$1,083,282 ",-
1987,178,Cross My Heart,"$1,025,762 ","$1,025,762 ",-
1987,179,In the Mood,"$999,382 ","$999,382 ",-
1987,180,Campus Man,"$989,528 ","$989,528 ",-
1987,181,Million Dollar Mystery,"$989,033 ","$989,033 ",-
1987,182,Gothic,"$916,172 ","$916,172 ",-
1987,183,The Glass Menagerie,"$895,904 ","$895,904 ",-
1987,184,Real Men,"$873,903 ","$873,903 ",-
1987,185,Tough Guys Don't Dance,"$858,250 ","$858,250 ",-
1987,186,The Barbarians,"$800,000 ","$800,000 ",-
1987,187,Beyond Therapy,"$790,000 ","$790,000 ",-
1987,188,The Hanoi Hilton,"$760,000 ","$760,000 ",-
1987,189,Waiting for the Moon,"$751,555 ","$751,555 ",-
1987,190,Chuck Berry: Hail! Hail! Rock 'n' Roll,"$719,323 ","$719,323 ",-
1987,191,Siesta,"$700,000 ","$700,000 ",-
1987,192,Oviri,"$583,800 ","$583,800 ",-
1987,193,Steel Dawn,"$562,187 ","$562,187 ",-
1987,194,Amazon Women on the Moon,"$548,696 ","$548,696 ",-
1987,195,Devil in the Flesh,"$546,904 ","$546,904 ",-
1987,196,Man on Fire,"$519,596 ","$519,596 ",-
1987,197,The Killing Time,"$500,283 ","$500,283 ",-
1987,198,September,"$486,434 ","$486,434 ",-
1987,199,The Good Father,"$421,201 ","$421,201 ",-
1987,200,Number One with a Bullet,"$410,952 ","$410,952 ",-
