Year,Box_Office_Rank,Name, Worldwide , Domestic , Foreign 
1999,67,For Love of the Game,"$46,112,640.00 ","$35,188,640.00 ","$10,924,000.00 "
1999,68,House on Haunted Hill,"$42,593,455.00 ","$40,846,082.00 ","$1,747,373.00 "
1999,69,Arlington Road,"$41,067,311.00 ","$24,756,177.00 ","$16,311,134.00 "
1999,70,Blast from the Past,"$40,263,020.00 ","$26,511,114.00 ","$13,751,906.00 "
1999,71,Encounter in the Third Dimension,"$38,171,557.00 ","$7,195,792.00 ","$30,975,765.00 "
1999,72,The Bachelor,"$36,911,617.00 ","$21,760,240.00 ","$15,151,377.00 "
1999,73,My Favorite Martian,"$36,850,101.00 ","$36,850,101.00 ", - 
1999,74,Baby Geniuses,"$36,450,736.00 ","$27,250,736.00 ","$9,200,000.00 "
1999,75,Edtv,"$35,242,897.00 ","$22,431,897.00 ","$12,811,000.00 "
1999,76,October Sky,"$34,698,685.00 ","$32,570,685.00 ","$2,128,000.00 "
1999,77,The Best Man,"$34,573,780.00 ","$34,102,780.00 ","$471,000.00 "
1999,78,Instinct,"$34,105,207.00 ","$34,105,207.00 ", - 
1999,79,Mystery Men,"$33,461,011.00 ","$29,762,011.00 ","$3,699,000.00 "
1999,80,Dogma,"$31,119,037.00 ","$30,652,890.00 ","$464,581.00 "
1999,81,Virus,"$30,652,005.00 ","$14,036,005.00 ","$16,616,000.00 "
1999,82,Superstar,"$30,636,478.00 ","$30,636,478.00 ", - 
1999,83,Galapagos,"$29,349,172.00 ","$18,630,372.00 ","$10,718,800.00 "
1999,84,The Out-of-Towners,"$28,544,120.00 ","$28,544,120.00 ", - 
1999,85,Go,"$28,451,622.00 ","$16,943,454.00 ","$11,508,168.00 "
1999,86,The Deep End of the Ocean,"$28,121,100.00 ","$13,898,649.00 ","$14,222,451.00 "
1999,87,The Other Sister,"$27,807,627.00 ","$27,807,627.00 ", - 
1999,88,The Wood,"$25,059,640.00 ","$25,059,640.00 ", - 
1999,89,The Corruptor,"$24,493,601.00 ","$15,164,492.00 ","$9,329,109.00 "
1999,90,Alien Adventure,"$24,074,680.00 ","$8,959,784.00 ","$15,114,896.00 "
1999,91,Anywhere But Here,"$23,631,929.00 ","$18,670,401.00 ","$4,961,528.00 "
1999,92,The Iron Giant,"$23,162,236.00 ","$23,159,305.00 ",$359.00 
1999,93,Being John Malkovich,"$23,106,795.00 ","$22,863,596.00 ","$243,071.00 "
1999,94,Snow Falling on Cedars,"$23,049,593.00 ","$14,417,593.00 ","$8,632,000.00 "
1999,95,Buena Vista Social Club,"$23,002,182.00 ","$7,002,182.00 ","$16,000,000.00 "
1999,96,Drive Me Crazy,"$22,593,409.00 ","$17,845,337.00 ","$4,748,072.00 "
1999,97,At First Sight,"$22,365,133.00 ","$22,365,133.00 ", - 
1999,98,Muppets from Space,"$22,323,612.00 ","$16,625,807.00 ","$5,697,805.00 "
1999,99,Stir of Echoes,"$21,142,914.00 ","$21,142,914.00 ", - 
1999,100,The Legend of 1900,"$20,678,716.00 ","$167,435.00 ","$20,511,281.00 "
1999,101,The Astronaut's Wife,"$19,598,588.00 ","$10,672,566.00 ","$8,926,022.00 "
1999,102,Doug's 1st Movie,"$19,440,089.00 ","$19,440,089.00 ", - 
1999,103,Summer of Sam,"$19,288,130.00 ","$19,288,130.00 ", - 
1999,104,The Thirteenth Floor,"$18,564,088.00 ","$11,916,661.00 ","$6,647,427.00 "
1999,105,An Ideal Husband,"$18,542,974.00 ","$18,542,974.00 ", - 
1999,106,The Rage: Carrie 2,"$17,762,705.00 ","$17,762,705.00 ", - 
1999,107,Eye of the Beholder,"$17,589,705.00 ","$16,500,786.00 ","$1,088,919.00 "
1999,108,Bringing Out the Dead,"$16,798,496.00 ","$16,797,191.00 ", - 
1999,109,Extreme,"$16,653,175.00 ","$12,475,172.00 ","$4,178,003.00 "
1999,110,True Crime,"$16,649,768.00 ","$16,649,768.00 ", - 
1999,111,A Midsummer Night's Dream,"$16,071,990.00 ","$16,071,990.00 ", - 
1999,112,Election,"$14,902,204.00 ","$14,902,041.00 ", - 
1999,113,Music of the Heart,"$14,859,394.00 ","$14,859,394.00 ", - 
1999,114,Tea with Mussolini,"$14,401,563.00 ","$14,401,563.00 ", - 
1999,115,In Too Deep,"$14,011,454.00 ","$14,011,454.00 ", - 
1999,116,The Mod Squad,"$13,263,993.00 ","$13,263,993.00 ", - 
1999,117,Angela's Ashes,"$13,042,112.00 ","$13,042,112.00 ", - 
1999,118,Sun Alley,"$12,891,924.00 ", - ,"$12,891,924.00 "
1999,119,The Omega Code,"$12,614,346.00 ","$12,614,346.00 ", - 
1999,120,Black Mask,"$12,504,289.00 ","$12,504,289.00 ", - 
1999,121,In Dreams,"$12,017,369.00 ","$12,017,369.00 ", - 
1999,122,The King and I,"$11,993,021.00 ","$11,993,021.00 ", - 
1999,123,Chill Factor,"$11,788,676.00 ","$11,263,966.00 ","$524,710.00 "
1999,124,The Adventures of Elmo in Grouchland,"$11,683,047.00 ","$11,683,047.00 ", - 
1999,125,The Muse,"$11,614,954.00 ","$11,614,954.00 ", - 
1999,126,Wing Commander,"$11,578,059.00 ","$11,578,059.00 ", - 
1999,127,Boys Don't Cry,"$11,540,607.00 ","$11,540,607.00 ", - 
1999,128,Cookie's Fortune,"$10,920,544.00 ","$10,920,544.00 ", - 
1999,129,Office Space,"$10,829,448.00 ","$10,827,810.00 ", - 
1999,130,The End of the Affair,"$10,827,816.00 ","$10,827,816.00 ", - 
